,city,lat,lon,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,date
131,morros,-9.4467,-46.3003,80.33,42,27,4.03,BR,1653946796
132,manggar,-2.8833,108.2667,79.2,80,36,1.9,ID,1653946796
133,flinders,-34.5833,150.8552,55.26,65,70,15.99,AU,1653946796
134,port hardy,50.6996,-127.4199,55.58,71,75,6.91,CA,1653946797
135,katsuura,35.1333,140.3,68.31,83,100,10.29,JP,1653946406
136,west des moines,41.572,-93.7453,90.05,50,40,25.32,US,1653946815
137,neepawa,50.2289,-99.4664,61.2,92,100,19.71,CA,1653946857
138,petropavlovsk-kamchatskiy,53.0452,158.6483,46.78,71,20,4.47,RU,1653946858
139,ahipara,-35.1667,173.1667,62.89,89,100,8.46,NZ,1653946858
140,pimentel,-6.8367,-79.9342,71.89,60,0,20.71,PE,1653946858
141,leningradskiy,69.3833,178.4167,39.58,78,93,5.79,RU,1653946859
142,caramay,10.1815,119.236,77.99,86,99,2.93,PH,1653946859
143,termiz,37.2242,67.2783,68.09,34,0,4.61,UZ,1653946859
144,ankang,32.68,109.0172,70.27,62,100,0.22,CN,1653946860
145,sukumo,32.9333,132.7333,68.09,88,97,6.64,JP,1653946860
146,bilibino,68.0546,166.4372,56.14,44,100,11.41,RU,1653946860
147,chuy,-33.6971,-53.4616,44.87,72,20,11.25,UY,1653946405
148,paamiut,61.994,-49.6678,33.94,95,97,1.83,GL,1653946861
149,khatanga,71.9667,102.5,32.36,77,52,7.34,RU,1653946861
150,nemuro,43.3236,145.575,43.68,96,100,13.8,JP,1653946861
151,severo-kurilsk,50.6789,156.125,43.02,88,79,0.87,RU,1653946862
152,dwarka,22.2394,68.9678,80.46,84,7,17.25,IN,1653946862
153,tasiilaq,65.6145,-37.6368,39.36,89,50,3.51,GL,1653946339
154,hasaki,35.7333,140.8333,66.6,85,100,14.29,JP,1653946863
155,iqaluit,63.7506,-68.5145,38.93,75,20,15.01,CA,1653946863
156,gigmoto,13.7796,124.39,80.19,80,100,2.01,PH,1653946863
157,laramie,41.3114,-105.5911,51.96,40,100,24.16,US,1653946690
158,piacabucu,-10.4056,-36.4344,76.05,91,99,9.53,BR,1653946864
159,belmonte,-15.8631,-38.8828,75.97,88,8,7.83,BR,1653946864
160,saint anthony,45.0205,-93.218,86.34,56,20,25.32,US,1653946864
161,kuryk,43.2,51.65,74.55,29,0,7.11,KZ,1653946865
162,lumphat,13.4878,106.9816,73.8,99,73,2.48,KH,1653946865
163,souillac,-20.5167,57.5167,73.78,73,75,14.97,MU,1653946865
164,salinopolis,-0.6136,-47.3561,78.93,83,81,7.47,BR,1653946744
165,north platte,41.1239,-100.7654,67.89,50,40,26.46,US,1653946644
166,coroico,-16.1889,-67.7271,61.43,98,80,1.3,BO,1653946800
167,tecoanapa,16.5167,-98.75,83.53,72,100,11.3,MX,1653946866
168,mount gambier,-37.8333,140.7667,44.44,89,94,16.84,AU,1653946755
169,lappeenranta,61.0587,28.1887,53.65,74,0,5.75,FI,1653946866
170,saint-philippe,-21.3585,55.7679,69.39,75,42,11.77,RE,1653946490
171,lompoc,34.6391,-120.4579,80.78,61,0,25.99,US,1653946867
172,shingu,33.7333,135.9833,65.28,94,100,5.01,JP,1653946867
173,college,64.8569,-147.8028,73.58,34,20,6.91,US,1653946867
174,cao bang,22.6667,106.25,73.69,99,100,1.48,VN,1653946868
175,caarapo,-22.6342,-54.8222,62.82,96,100,7.76,BR,1653946709
176,castro,-24.7911,-50.0119,61.47,98,100,5.61,BR,1653946868
177,bireun,5.203,96.7009,77.61,63,95,4.85,ID,1653946869
178,port alfred,-33.5906,26.891,56.17,60,100,3.0,ZA,1653946489
179,abu dhabi,24.4667,54.3667,84.22,66,0,3.44,AE,1653946789
180,cap malheureux,-19.9842,57.6142,72.46,74,80,5.01,MU,1653946929
181,osvaldo cruz,-21.7967,-50.8786,68.86,84,79,6.58,BR,1653946929
182,marzuq,14.4,46.4667,77.99,40,40,4.9,YE,1653946930
183,alakurtti,66.9672,30.3491,48.96,75,13,3.67,RU,1653946930
184,sistranda,63.7256,8.834,57.16,73,100,11.79,NO,1653946930
